companyName,contractType,location,sector,title,postingDate,hourlySalary,salaryRating,viewsCount,applicationsCount,interviewsCount,offersCount,hired,applicationDate,interviewDate,offerDate,hireDate,timeToHireDays,applicantExperienceLevel,workType,salaryRange
"ECHO, Payments Simplified®",Full-time,"Westlake, OH",IT Services and IT Consulting,Business Systems Analyst,2024-05-24,47.16,1.4,1493,119,7,0,False,2024-05-30,2024-06-04,2024-06-06,,,Mid-level,Hybrid,$80k-$100k
Open Select,Full-time,Washington DC-Baltimore Area,"Technology, Information and Media, Defense and Space Manufacturing, and Space Research and Technology",Machine Learning Engineer,2024-04-25,59.12,2.4,873,87,8,1,True,2024-05-04,2024-05-13,2024-05-17,2024-05-19,15.0,Mid-level,Hybrid,$120k+
Northern Trust,Full-time,"Chicago, IL",Financial Services,"Principal, Azure AKS Engineer",2025-03-09,60.32,2.5,900,110,1,0,False,2025-03-11,2025-03-15,2025-03-18,,,Junior,Remote,$100k-$120k
Reo Group,Full-time,"New York, NY",IT Services and IT Consulting,Planning Analytics Consultant ,2025-03-17,49.36,1.6,958,155,21,2,True,2025-03-23,2025-04-01,2025-04-04,2025-04-10,18.0,Junior,On-site,$80k-$100k
GrabaSoft,Full-time,United States,Software Development,Mid-Level Full-Stack Engineer,2024-12-30,63.89,2.8,927,151,2,0,False,2025-01-01,2025-01-09,2025-01-14,,,Senior,On-site,$100k-$120k
BNY,Contract,"Lake Mary, FL",Financial Services,Financial Data Analyst ,2024-07-11,35.36,0.4,1124,171,18,3,False,2024-07-15,2024-07-19,2024-07-24,,,Mid-level,Hybrid,$80k-$100k
BNY,Contract,"Lake Mary, FL",Financial Services,Financial Data Analyst ,2024-05-05,38.92,0.7,1101,137,33,5,True,2024-05-13,2024-05-16,2024-05-22,2024-05-27,14.0,Mid-level,On-site,$80k-$100k
FIS,Full-time,"New York, NY",IT Services and IT Consulting and Financial Services,Software Engineer,2024-11-28,40.19,0.8,1088,67,5,0,False,2024-12-05,2024-12-12,2024-12-18,,,Senior,Remote,$120k+
Woven by Toyota,Full-time,"Ann Arbor, MI",Software Development,"Machine Learning Engineer, Motion Planning",2024-09-05,56.19,2.2,1192,85,2,0,False,2024-09-14,2024-09-17,2024-09-20,,,Junior,Hybrid,$120k+
Jobot,Full-time,"San Francisco, CA",IT Services and IT Consulting and Software Development,Software Engineer ,2024-05-11,62.45,2.7,1391,159,20,0,False,2024-05-18,2024-05-26,2024-05-29,,,Mid-level,Hybrid,$100k-$120k
Woven by Toyota,Full-time,"Palo Alto, CA",Software Development,"Machine Learning Engineer, Motion Planning",2024-09-19,46.09,1.3,538,45,3,0,False,2024-09-20,2024-09-27,2024-10-03,,,Senior,Remote,$100k-$120k
LayerZero Power Systems,Full-time,"Aurora, OH","Technology, Information and Internet",Software Engineer,2024-04-14,63.18,2.8,392,182,18,6,True,2024-04-16,2024-04-19,2024-04-25,2024-04-29,13.0,Mid-level,Hybrid,$120k+
Jobgether,Full-time,United States,Non-profit Organizations and Primary and Secondary Education,Senior Cloud Security Engineer ,2025-02-19,61.81,2.7,482,173,24,0,False,2025-02-25,2025-03-04,2025-03-07,,,Senior,On-site,$100k-$120k
TEKsystems,Full-time,"Honolulu, HI",IT Services and IT Consulting,Salesforce Administrator,2024-06-23,53.69,2.0,589,31,5,0,False,2024-06-30,2024-07-06,2024-07-10,,,Junior,On-site,$60k-$80k
Tillman Fiber,Full-time,"New York, NY",Telecommunications,GIS Analyst,2024-11-18,42.03,1.0,1199,136,30,5,False,2024-11-21,2024-11-30,2024-12-03,,,Junior,Hybrid,$60k-$80k
Jobot,Full-time,"Grand Prairie, TX",IT Services and IT Consulting and Software Development,Lead Data Engineer,2024-07-14,42.54,1.0,724,89,12,4,False,2024-07-23,2024-07-27,2024-07-31,,,Mid-level,Remote,$100k-$120k
Jobot,Full-time,"Salt Lake City, UT",IT Services and IT Consulting and Software Development,Lead Data Engineer,2024-09-25,52.15,1.8,1463,198,10,1,True,2024-10-02,2024-10-09,2024-10-13,2024-10-18,16.0,Junior,Hybrid,$100k-$120k
BNY,Contract,"Pittsburgh, PA",Financial Services,Financial Data Analyst ,2024-10-03,40.14,0.8,858,109,23,9,True,2024-10-09,2024-10-15,2024-10-18,2024-10-21,12.0,Senior,Remote,$80k-$100k
Jobot Consulting,Contract,"Yukon, OK","Construction, Building Construction, and Architecture and Planning",Construction Data Analyst,2024-05-27,40.7,0.9,915,193,11,0,False,2024-06-02,2024-06-11,2024-06-13,,,Junior,On-site,$80k-$100k
Jobot Consulting,Contract,"Los Angeles, CA",IT Services and IT Consulting and Software Development,Machine Learning Engineer - Healthcare,2025-03-18,47.68,1.5,1090,105,2,0,False,2025-03-19,2025-03-28,2025-04-03,,,Junior,On-site,$80k-$100k
Jobgether,Full-time,United States,Non-profit Organizations and Primary and Secondary Education,"Staff Software Engineer, Integrations ",2024-12-22,60.08,2.5,1312,170,26,9,False,2024-12-27,2025-01-01,2025-01-06,,,Junior,On-site,$120k+
Jobot,Full-time,"Costa Mesa, CA","Software Development, Technology, Information and Internet, and Technology, Information and Media",Data Integration Specialist - Azure & Python,2025-03-05,45.78,1.3,1318,182,36,6,False,2025-03-08,2025-03-11,2025-03-14,,,Mid-level,Hybrid,$60k-$80k
GrabaSoft,Full-time,United States,Software Development,Senior Backend Engineer,2025-02-11,69.34,3.3,651,173,33,13,False,2025-02-18,2025-02-23,2025-02-27,,,Senior,On-site,$100k-$120k
Independence Pet Group,Full-time,"Texas, United States",Insurance,Software Engineer ,2024-10-22,55.26,2.1,627,157,13,1,True,2024-10-25,2024-11-02,2024-11-05,2024-11-09,15.0,Senior,On-site,$120k+
CVS Health,Full-time,"Hartford, CT",Hospitals and Health Care,Senior Oracle Database Engineer,2025-02-25,81.48,4.3,1374,27,1,0,False,2025-03-02,2025-03-08,2025-03-14,,,Senior,Hybrid,$120k+
The Doctors Company,Full-time,"Unionville, CT",Insurance,Infrastructure Engineer,2024-05-03,46.82,1.4,1245,47,4,0,False,2024-05-10,2024-05-15,2024-05-19,,,Mid-level,On-site,$100k-$120k
Brady Corporation,Full-time,"Milwaukee, WI",Manufacturing,Senior Software Engineer,2024-05-30,72.41,3.5,1082,160,19,7,True,2024-06-02,2024-06-07,2024-06-12,2024-06-18,16.0,Senior,Hybrid,$120k+
thyssenkrupp,Full-time,"Fishers, IN",Utilities,Analysis Engineer,2024-04-18,43.05,1.1,512,118,18,0,False,2024-04-20,2024-04-29,2024-05-04,,,Senior,On-site,$120k+
Jobot Consulting,Contract,"Kennesaw, GA",IT Services and IT Consulting and Software Development,Systems Engineer,2024-07-20,44.53,1.2,1039,132,5,1,False,2024-07-26,2024-08-01,2024-08-06,,,Junior,On-site,$80k-$100k
Chime,Full-time,"Chicago, IL",Financial Services,Senior Backend Engineer (Chicago),2024-08-17,80.43,4.2,718,153,30,7,False,2024-08-25,2024-09-03,2024-09-05,,,Senior,On-site,$100k-$120k
Jobot,Full-time,"Nashville, TN",IT Services and IT Consulting and Software Development,AI Engineer,2024-06-27,44.54,1.2,1429,196,19,3,True,2024-07-01,2024-07-05,2024-07-09,2024-07-13,12.0,Junior,Remote,$120k+
Eurofins PSS Insourcing Solutions,Full-time,"Rensselaer County, NY",Biotechnology Research,Technical Power BI Business Analyst (On-Site),2025-01-09,45.5,1.3,574,158,23,9,True,2025-01-18,2025-01-25,2025-01-29,2025-02-04,17.0,Senior,On-site,$60k-$80k
O&M Halyard,Full-time,"Alpharetta, GA","Hospitals and Health Care, Transportation, Logistics, Supply Chain and Storage, and Warehousing and Storage",R&D Engineer II,2024-08-03,57.73,2.3,650,113,27,7,False,2024-08-11,2024-08-19,2024-08-21,,,Senior,On-site,$100k-$120k
LayerZero Power Systems,Full-time,"Aurora, OH","Technology, Information and Internet",Software Security Engineer,2024-07-01,42.67,1.1,1214,149,16,4,True,2024-07-08,2024-07-16,2024-07-20,2024-07-23,15.0,Senior,On-site,$120k+
TradePending,Full-time,"Richmond, VA",Software Development,Support Specialist,2024-10-01,46.35,1.4,794,153,1,0,False,2024-10-08,2024-10-11,2024-10-13,,,Mid-level,On-site,$60k-$80k
Weis Markets,Full-time,"Sunbury, PA",Retail,Application Developer,2024-05-16,46.41,1.4,1402,90,12,5,True,2024-05-19,2024-05-28,2024-05-31,2024-06-06,18.0,Junior,Remote,$80k-$100k
Blaze Credit Union,Full-time,"St Paul, MN",Banking,Fraud Analyst,2024-12-29,54.26,2.0,1433,96,2,0,False,2025-01-04,2025-01-11,2025-01-17,,,Junior,On-site,$60k-$80k
TEKsystems,Full-time,"Wilmington, DE",IT Services and IT Consulting,Systems Administrator,2024-04-29,44.67,1.2,699,151,8,2,True,2024-05-04,2024-05-07,2024-05-12,2024-05-17,13.0,Senior,Remote,$80k-$100k
Upstart,Full-time,United States,Financial Services,Senior Data Scientist,2025-03-26,84.18,4.5,663,70,2,0,False,2025-03-27,2025-04-04,2025-04-06,,,Senior,On-site,$100k-$120k
NJF Global Holdings Ltd,Full-time,"New York, United States",Financial Services,Quantitative Developer,2024-12-21,53.76,2.0,1347,55,9,0,False,2024-12-24,2024-12-31,2025-01-02,,,Junior,Remote,$80k-$100k
TEKsystems,Full-time,"Raleigh, NC",IT Services and IT Consulting,Business Analyst,2024-05-31,35.87,0.5,312,41,5,0,False,2024-06-01,2024-06-06,2024-06-08,,,Junior,Hybrid,$60k-$80k
Jobot,Full-time,"Colorado Springs, CO",IT Services and IT Consulting and Software Development,Machine Learning Engineer,2024-04-03,55.83,2.2,1235,24,2,0,False,2024-04-07,2024-04-11,2024-04-14,,,Mid-level,Hybrid,$100k-$120k
Jobot,Full-time,"Philadelphia, PA","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior SQL Developer,2025-01-02,88.54,4.9,1349,53,6,1,True,2025-01-05,2025-01-10,2025-01-12,2025-01-14,9.0,Senior,Hybrid,$120k+
Davenport University,Internship,"Grand Rapids, MI",Higher Education,(Student) Information Security Analyst Intern,2024-12-05,47.03,1.4,530,154,13,5,True,2024-12-09,2024-12-13,2024-12-19,2024-12-24,15.0,Junior,On-site,$60k-$80k
Integrity,Full-time,"Dallas, TX",Insurance,Director of Data and Analytics,2024-12-10,51.38,1.8,339,63,3,0,False,2024-12-19,2024-12-28,2025-01-03,,,Junior,Hybrid,$60k-$80k
Exoprise Systems,Full-time,"Waltham, MA",Software Development,Senior Front End Engineer,2024-12-21,86.53,4.7,1101,53,3,0,False,2024-12-24,2024-12-30,2025-01-04,,,Senior,On-site,$120k+
Jobot,Full-time,"Lake Forest, CA",IT Services and IT Consulting and Software Development,Machine Learning Engineer,2024-04-29,45.7,1.3,1320,107,8,1,False,2024-05-05,2024-05-08,2024-05-11,,,Senior,On-site,$120k+
AceNet,Contract,"Florida, United States",IT Services and IT Consulting,Data Architect,2024-08-04,39.24,0.8,716,14,1,0,False,2024-08-10,2024-08-13,2024-08-19,,,Junior,Hybrid,$80k-$100k
Jobgether,Full-time,"New York, NY",Non-profit Organizations and Primary and Secondary Education,"Talent Sourcer (Technology focus)  New York, NY",2024-05-10,47.22,1.4,768,118,26,4,True,2024-05-17,2024-05-23,2024-05-27,2024-06-01,15.0,Mid-level,On-site,$60k-$80k
Charles Schwab,Full-time,"Westlake, TX",Financial Services,SDET - Performance Engineer,2025-01-26,50.28,1.7,1045,36,2,0,False,2025-02-04,2025-02-11,2025-02-15,,,Mid-level,Remote,$100k-$120k
Jobot Consulting,Contract,"Springfield, MO","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-11-01,85.2,4.6,1292,125,12,1,True,2024-11-08,2024-11-14,2024-11-18,2024-11-22,14.0,Senior,On-site,$120k+
Jobot Consulting,Contract,"Cincinnati, OH","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-07-23,87.0,4.8,317,96,2,0,False,2024-07-24,2024-08-02,2024-08-04,,,Senior,Hybrid,$100k-$120k
Vadis Technologies - A Moody's Company,Full-time,"Newark, NJ",IT Services and IT Consulting,Staff Software Engineer,2024-04-25,48.84,1.6,1087,113,11,0,False,2024-05-03,2024-05-11,2024-05-13,,,Mid-level,Remote,$100k-$120k
Jobot,Full-time,"Costa Mesa, CA",IT Services and IT Consulting and Software Development,Agentic AI Engineer,2024-07-14,45.92,1.3,1282,132,12,3,True,2024-07-19,2024-07-25,2024-07-29,2024-08-01,13.0,Mid-level,Hybrid,$120k+
Jobot Consulting,Contract,"Pasadena, TX","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-07-20,83.42,4.5,1256,88,18,2,True,2024-07-29,2024-08-02,2024-08-07,2024-08-09,11.0,Senior,Hybrid,$120k+
GTI Energy,Full-time,Greater Chicago Area,"Non-profit Organizations, Oil and Gas, and Utilities",Engineer - Emerging Technology Analyst/PM,2024-12-10,46.87,1.4,249,52,5,1,True,2024-12-15,2024-12-23,2024-12-28,2025-01-03,19.0,Junior,Hybrid,$100k-$120k
Jobot Consulting,Contract,"Centreville, VA","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-11-07,84.68,4.6,218,106,22,7,True,2024-11-12,2024-11-18,2024-11-20,2024-11-24,12.0,Senior,Remote,$120k+
Jobot,Full-time,"San Jose, CA",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2025-02-07,50.59,1.7,925,40,2,0,False,2025-02-09,2025-02-12,2025-02-16,,,Mid-level,On-site,$100k-$120k
Jobot Consulting,Contract,"Columbia, MD","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-09-13,80.03,4.2,396,108,5,1,False,2024-09-16,2024-09-21,2024-09-26,,,Senior,Hybrid,$120k+
Jobot Consulting,Contract,"Duluth, MN","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-05-11,62.87,2.7,758,26,2,0,False,2024-05-20,2024-05-24,2024-05-26,,,Senior,On-site,$100k-$120k
Luxor Healthcare,Full-time,"Independence, MO",Hospitals and Health Care,Landscaper,2024-12-06,47.48,1.5,651,92,12,5,True,2024-12-13,2024-12-22,2024-12-26,2024-12-29,16.0,Mid-level,On-site,$60k-$80k
Jobot Consulting,Contract,"Green Bay, WI","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-12-18,73.55,3.6,488,119,16,1,True,2024-12-19,2024-12-23,2024-12-26,2024-12-28,9.0,Senior,On-site,$100k-$120k
Jobot,Full-time,"Bakersfield, CA",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-10-09,54.67,2.1,1364,191,23,5,True,2024-10-12,2024-10-19,2024-10-23,2024-10-28,16.0,Mid-level,On-site,$100k-$120k
Jobgether,Full-time,United States,Non-profit Organizations and Primary and Secondary Education,Financial Analyst ,2024-12-21,38.36,0.7,1307,199,40,18,True,2024-12-23,2024-12-28,2025-01-01,2025-01-04,12.0,Junior,Hybrid,$60k-$80k
Jobot,Full-time,"Temecula, CA",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-09-19,58.42,2.4,590,41,9,1,False,2024-09-20,2024-09-24,2024-09-30,,,Junior,Remote,$100k-$120k
Jobot Consulting,Contract,"Overland Park, KS","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-09-26,85.88,4.7,414,177,32,4,True,2024-10-05,2024-10-11,2024-10-17,2024-10-20,15.0,Senior,Hybrid,$120k+
Realm,Full-time,"New York, United States","Technology, Information and Media and Information Services",Senior Backend Engineer / Tech Lead Go (Golang),2024-09-02,66.5,3.0,414,150,15,3,False,2024-09-10,2024-09-14,2024-09-17,,,Senior,Hybrid,$100k-$120k
Jobot Consulting,Contract,"Sioux Falls, SD","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-04-10,62.87,2.7,327,44,5,0,False,2024-04-15,2024-04-19,2024-04-22,,,Senior,On-site,$120k+
Coelate Technologies,Contract,"Sacramento, CA",IT Services and IT Consulting,ServiceNow Bussiness System Analyst,2024-05-08,35.47,0.5,959,142,13,2,True,2024-05-10,2024-05-14,2024-05-18,2024-05-21,11.0,Junior,On-site,$60k-$80k
Jobot,Full-time,"Everett, WA",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-04-12,56.05,2.2,603,38,5,0,False,2024-04-13,2024-04-20,2024-04-25,,,Mid-level,On-site,$120k+
Jobot Consulting,Contract,"Savannah, GA","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-11-07,78.21,4.0,1252,79,11,2,False,2024-11-14,2024-11-18,2024-11-21,,,Senior,Hybrid,$100k-$120k
Jobot,Full-time,"New York, NY",IT Services and IT Consulting and Software Development,Solutions Engineer / Backend,2024-07-16,53.67,2.0,537,162,10,0,False,2024-07-18,2024-07-22,2024-07-26,,,Junior,On-site,$100k-$120k
Jobot,Full-time,"Henderson, NV",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-09-22,45.8,1.3,1030,104,20,6,True,2024-09-23,2024-09-30,2024-10-02,2024-10-07,14.0,Senior,Hybrid,$100k-$120k
Jobot Consulting,Contract,"Cape Coral, FL","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2025-02-18,71.73,3.5,913,31,5,1,False,2025-02-20,2025-02-28,2025-03-06,,,Senior,Remote,$100k-$120k
Jobot Consulting,Contract,"Jonesboro, AR","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-06-19,77.83,4.0,560,182,41,18,True,2024-06-26,2024-07-01,2024-07-06,2024-07-12,16.0,Senior,Hybrid,$120k+
Kroger,Part-time,"Bryan, TX",Retail,Courtesy Clerk/Grocery Bagger,2024-08-26,44.94,1.2,768,78,14,3,True,2024-09-02,2024-09-11,2024-09-15,2024-09-19,17.0,Mid-level,Hybrid,$40k-$60k
Jobot,Full-time,"Wichita Falls, TX",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-12-17,64.69,2.9,417,98,18,4,False,2024-12-23,2024-12-31,2025-01-02,,,Mid-level,Hybrid,$100k-$120k
Jobot Consulting,Contract,"Charleston, SC","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-06-11,64.09,2.8,401,81,15,4,False,2024-06-16,2024-06-19,2024-06-25,,,Senior,On-site,$100k-$120k
Jobot,Full-time,"Provo, UT",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-04-30,57.38,2.3,216,10,1,0,False,2024-05-03,2024-05-10,2024-05-12,,,Senior,On-site,$100k-$120k
Jobot Consulting,Contract,"Canton, OH","Software Development, Technology, Information and Internet, and Technology, Information and Media",Senior Cloud Developer,2024-07-05,72.13,3.5,521,181,42,14,True,2024-07-08,2024-07-15,2024-07-19,2024-07-25,17.0,Senior,Remote,$100k-$120k
Jobot,Full-time,"Vancouver, WA",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-05-21,50.7,1.7,717,96,7,0,False,2024-05-30,2024-06-03,2024-06-06,,,Junior,Hybrid,$120k+
Jobot,Full-time,"Medford, OR",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2025-03-01,57.94,2.3,880,105,8,1,True,2025-03-05,2025-03-09,2025-03-15,2025-03-17,12.0,Senior,Hybrid,$100k-$120k
Jobot,Full-time,"Seattle, WA",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2024-12-30,57.31,2.3,1305,84,3,0,False,2025-01-08,2025-01-17,2025-01-19,,,Mid-level,On-site,$100k-$120k
Jobot,Full-time,"Conshohocken, PA",IT Services and IT Consulting and Software Development,Azure DevOps Engineer,2024-11-06,64.78,2.9,624,176,15,2,True,2024-11-10,2024-11-13,2024-11-16,2024-11-20,10.0,Senior,Hybrid,$100k-$120k
Jobot,Full-time,"Gainesville, FL",IT Services and IT Consulting and Software Development,Cloud Infrastructure Engineer (GCP Focus),2025-01-30,43.21,1.1,1427,63,4,1,False,2025-02-01,2025-02-05,2025-02-10,,,Senior,On-site,$100k-$120k
Jobot,Full-time,"Los Angeles, CA",IT Services and IT Consulting and Software Development,Systems Engineer,2024-12-29,42.6,1.1,1218,97,21,1,True,2025-01-02,2025-01-08,2025-01-12,2025-01-14,12.0,Junior,On-site,$100k-$120k
Kroger,Part-time,"Dublin, GA",Retail,Courtesy Clerk/Grocery Bagger,2024-05-28,49.49,1.6,586,166,6,2,True,2024-06-03,2024-06-07,2024-06-11,2024-06-16,13.0,Junior,On-site,$40k-$60k
Charles Schwab,Full-time,"Austin, TX",Financial Services,Software Development Engineer in Test,2025-02-10,54.46,2.0,977,63,1,0,False,2025-02-16,2025-02-20,2025-02-26,,,Mid-level,On-site,$100k-$120k
